UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ESTATÍSTICA;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ESTATÍSTICA;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ESTATÍSTICA;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ESTATÍSTICA;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ESTATÍSTICA;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ESTATÍSTICA;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;CIÊNCIAS ATUARIAIS;7,3
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;CIÊNCIAS ATUARIAIS;17,1
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;CIÊNCIAS ATUARIAIS;7,3
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;CIÊNCIAS ATUARIAIS;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;CIÊNCIAS ATUARIAIS;2,4
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;CIÊNCIAS ATUARIAIS;2,4
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;CIÊNCIAS ATUARIAIS;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;CIÊNCIAS ATUARIAIS;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;CIÊNCIAS ATUARIAIS;2,4
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;CIÊNCIAS ATUARIAIS;2,4
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;QUÍMICA;10,7
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;QUÍMICA;12,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;QUÍMICA;9,3
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;QUÍMICA;9,3
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;QUÍMICA;10,7
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;QUÍMICA;2,7
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;QUÍMICA;2,7
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;QUÍMICA;1,3
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;QUÍMICA;1,3
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;QUÍMICA;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ARQUITETURA E URBANISMO;1,4
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ARQUITETURA E URBANISMO;13,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ARQUITETURA E URBANISMO;6,5
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ARQUITETURA E URBANISMO;3,8
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ARQUITETURA E URBANISMO;5,8
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ARQUITETURA E URBANISMO;1,7
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ARQUITETURA E URBANISMO;0,7
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ARQUITETURA E URBANISMO;1,4
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ARQUITETURA E URBANISMO;1,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ARQUITETURA E URBANISMO;0,7
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;COMPOSIÇÃO DE INTERIOR;2,4
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;COMPOSIÇÃO DE INTERIOR;9,5
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;COMPOSIÇÃO DE INTERIOR;0,0
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;COMPOSIÇÃO DE INTERIOR;7,1
